Timestamp,Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C),current_fullness,fill_rate,hour,dayofweek,Predicted_Minutes_Left
2025-11-24 08:13:01.867000+00:00,2025-11-24T08:13:01.867Z,17,0.0,CLOSED,53.33,0.0,0.5,8,0,1340.0714285714284
2025-11-24 08:13:16.770000+00:00,2025-11-24T08:13:16.770Z,17,0.0,CLOSED,53.33,0.0,1.0,8,0,1306.875
2025-11-24 08:13:31.758000+00:00,2025-11-24T08:13:31.758Z,17,0.0,CLOSED,36.67,0.0,1.5,8,0,918.375
2025-11-24 08:13:46.721000+00:00,2025-11-24T08:13:46.721Z,17,0.0,CLOSED,53.33,0.0,1.5,8,0,918.375
2025-11-24 08:14:02.378000+00:00,2025-11-24T08:14:02.378Z,17,0.0,CLOSED,53.33,0.0,1.5,8,0,918.375
2025-11-24 08:14:33.195000+00:00,2025-11-24T08:14:33.195Z,11,0.0,CLOSED,53.33,0.0,1.0,8,0,1306.875
2025-11-24 08:14:47.289000+00:00,2025-11-24T08:14:47.289Z,17,0.0,CLOSED,53.33,0.0,0.5,8,0,1340.0714285714284
2025-11-24 08:15:31.769000+00:00,2025-11-24T08:15:31.769Z,17,35.0,CLOSED,53.33,35.0,3.5,8,0,236.1775937090523
2025-11-24 08:15:46.767000+00:00,2025-11-24T08:15:46.767Z,11,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:16:01.546000+00:00,2025-11-24T08:16:01.546Z,11,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:16:17.421000+00:00,2025-11-24T08:16:17.421Z,17,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:16:31.761000+00:00,2025-11-24T08:16:31.761Z,17,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:16:46.869000+00:00,2025-11-24T08:16:46.869Z,17,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:17:01.930000+00:00,2025-11-24T08:17:01.930Z,17,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:17:16.863000+00:00,2025-11-24T08:17:16.863Z,11,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:17:31.721000+00:00,2025-11-24T08:17:31.721Z,17,0.0,CLOSED,53.33,0.0,3.5,8,0,334.3177579365081
2025-11-24 08:19:09.471000+00:00,2025-11-24T08:19:09.471Z,17,5.0,CLOSED,53.33,5.0,4.0,8,0,325.7240079365081
2025-11-24 17:13:16.014000+00:00,2025-11-24T17:13:16.014Z,16,5.0,CLOSED,53.33,5.0,1.0,17,0,1192.004761904762
2025-11-25 09:40:29.562000+00:00,2025-11-25T09:40:29.562Z,1,94.0,CLOSED,53.33,94.0,10.4,9,1,0.4992223676794958
2025-11-25 09:40:50.087000+00:00,2025-11-25T09:40:50.087Z,10,70.0,CLOSED,32.78,70.0,17.4,9,1,14.64610223129662
2025-11-25 09:41:04.348000+00:00,2025-11-25T09:41:04.348Z,5,70.0,CLOSED,53.33,70.0,24.4,9,1,11.677729954341281
2025-11-25 09:41:20.601000+00:00,2025-11-25T09:41:20.601Z,5,70.0,CLOSED,53.33,70.0,31.4,9,1,10.470629881238231
2025-11-25 09:41:34.761000+00:00,2025-11-25T09:41:34.761Z,5,70.0,CLOSED,53.33,70.0,38.4,9,1,8.684178412880273
2025-11-25 09:41:50.819000+00:00,2025-11-25T09:41:50.819Z,4,70.0,CLOSED,35.0,70.0,45.4,9,1,7.539179344460831
2025-11-25 09:42:21.476000+00:00,2025-11-25T09:42:21.476Z,16,47.0,CLOSED,53.33,47.0,50.1,9,1,12.76417277208255
